"Parker O-Ring Chemical Compatibility Chart — Compatibility Tables for Gases, Fluids, Solids","","","","","","","","","","","","","","","","","","","","",""
"Source: Parker O-Ring & Engineered Seals Division, ORD 5700 O-Ring Handbook  |  2135 compounds  |  Ratings: 1=Satisfactory, 2=Fair, 3=Doubtful, 4=Unsatisfactory, X=Insufficient Data","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Compound / Fluid","Compound Code","NBR
(Nitrile)","HNBR
(Hydrog. Nitrile)","EPDM
(Ethylene Propylene)","FKM
(Fluorocarbon)","FKM
(Hifluor)","FFKM
(Perfluoroelastomer)","FEPM
(Aflas)","CR
(Neoprene)","SBR
(Styrene-Butadiene)","ACM
(Polyacrylate)","AU/EU
(Polyurethane)","IIR
(Butyl)","BR
(Butadiene)","IR
(Isoprene)","NR
(Natural Rubber)","CSM
(Hypalon)","FVMQ
(Fluorosilicone)","MQ/VMQ/PVMQ
(Silicone)","",""
"Caustic Soda (Sodium Hydroxide)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cellosolve","E0540-80","4","4","2","4","1","1","3","4","4","4","4","2","4","4","4","4","4","4","",""
"Cellosolve, Acetate","E0540-80","4","4","2","4","1","1","2","4","4","4","4","2","4","4","4","4","4","4","",""
"Cellosolve, Butyl","E0540-80","4","4","2","4","1","1","2","4","4","4","4","2","4","4","4","4","4","4","",""
"Celluguard","N0674-70","1","1","1","1","1","1","1","1","1","3","4","1","1","1","1","1","1","1","",""
"Cellulose Acetate","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cellulose Acetate Butyrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cellulose Ether","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cellulose Nitrate*","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cellulose Tripropionate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cellulube (Phosphate Esters)","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cellutherm 2505A","V1164-75","2","2","4","1","1","1","2","4","4","2","4","4","4","4","4","4","2","4","",""
"Cerium Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cerous Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cerous Fluoride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cerous Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cesium Formate","E0962-90","X","X","2","4","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cetane (Hexadecane)","N0674-70","1","1","4","1","1","1","2","2","4","1","4","4","4","4","4","2","3","4","",""
"Cetyl Alcohol","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Chaulmoogric Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"China Wood Oil (Tung Oil)","N0674-70","1","1","4","1","1","1","2","2","4","X","3","3","4","4","4","3","2","4","",""
"Chloral","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Chloramine","E1257-70","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chloranthraquinone","V1164-75","2","2","4","1","2","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chlordane","V1164-75","2","2","4","1","1","1","2","3","4","X","X","4","4","4","4","3","2","4","",""
"Chlorextol","V1164-75","2","2","4","1","1","1","2","2","4","2","4","4","4","4","4","4","2","4","",""
"Chloric Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Chlorinated Solvents, Dry","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","1","4","",""
"Chlorinated Solvents, Wet","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","1","4","",""
"Chlorine (Dry)","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chlorine (Plasma)","V3819-75","X","X","X","X","3","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chlorine (Wet)","V3819-75","X","X","X","X","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chlorine Dioxide","V1164-75","4","4","3","1","1","1","2","4","4","4","4","3","4","4","4","3","2","X","",""
"Chlorine Dioxide, 8% Cl as NaClO2 in solution","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","X","",""
"Chlorine Trifluoride","Factory","4","4","4","4","2","2","4","4","4","4","4","4","4","4","4","4","4","4","",""
"Chlorine Water (Chemical Processing)","V1164-75","3","3","2","1","1","1","1","4","X","X","X","X","X","X","X","X","X","X","",""
"Chloro 1-Nitro Ethane (1-Chloro 1-Nitro Ethane)","Factory","4","4","4","4","1","1","3","4","4","4","4","4","4","4","4","4","4","4","",""
"Chloro Oxyfluorides","V3819-75","X","X","X","X","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chloro Xylenols","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chloroacetaldehyde","E0540-80","3","3","1","3","2","2","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Chloroacetic Acid","E0540-80","4","4","2","4","1","1","2","4","4","4","4","2","4","4","4","1","4","X","",""
"Chloroacetone","E0540-80","4","4","1","4","2","1","2","4","4","4","4","2","4","4","4","4","4","4","",""
"Chloroacetyl Chloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chloroamino Benzoic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Chloroaniline","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Chlorobenzaldehyde","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Chlorobenzene","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Chlorobenzene (Mono)","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Chlorobenzene Chloride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chlorobenzene Trifluoride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chlorobenzochloride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chlorobenzotrifluoride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chlorobromo Methane","V1164-75","4","4","2","1","1","1","1","4","4","4","4","2","4","4","4","4","2","4","",""
"Chlorobromopropane","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chlorobutadiene","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Chlorobutane (Butyl Chloride)","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Chlorododecane","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","1","4","",""
"Chloroethane","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Chloroethane Sulfonic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Chloroethylbenzene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chloroform","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","4","4","",""
"Chlorohydrin","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Chloronaphthalene or o-Chloronaphthalene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Chloronitrobenzene","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Chlorophenol or o-Chlorophenol","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Chloropicrin","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chloroprene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chlorosilanes","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chlorosulfonic Acid","Factory","4","4","4","4","1","1","4","4","4","4","4","4","4","4","4","4","4","4","",""
"Chlorotoluene","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Chlorotoluene Sulfonic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Chlorotoluidine","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chlorotrifluoroethylene (CTFE)","V3819-75","X","X","X","X","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chlorox","E0540-80","2","2","1","1","1","1","1","2","4","4","4","2","4","4","4","2","1","X","",""
"Chloroxylols","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cholesterol","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chrome Alum","N0674-70","1","1","1","1","1","1","1","1","1","4","X","1","1","1","1","1","X","1","",""
"Chrome Plating Solutions","V1164-75","4","4","2","1","1","1","1","4","4","4","4","2","4","4","4","4","2","2","",""
"Chromic Acid","V1164-75","4","4","2","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Chromic Chloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chromic Fluorides","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chromic Hydroxide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chromic Nitrates","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chromic Oxide","V1164-75","4","4","2","1","1","1","1","4","X","X","X","X","X","X","X","X","X","X","",""
"Chromic Phosphate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chromic Sulfate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Chromium Potassium Sulfate (Alum)","V1164-75","2","X","2","1","1","1","2","X","X","X","X","X","X","X","X","X","X","X","",""
"Chromyl Chlorides","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cinnamic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Cinnamic Alcohol","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Cinnamic Aldehyde","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Circo Light Process Oil","N0674-70","1","1","4","1","1","1","2","2","4","1","1","4","4","4","4","2","1","4","",""
"Citric Acid","C0873-70","1","1","1","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","",""
"City Service #65 #120 #250","N0674-70","1","1","4","1","1","1","2","2","4","1","2","4","4","4","4","4","1","4","",""
"City Service Koolmoter-AP Gear Oil 140-EP Lube","N0674-70","1","1","4","1","1","1","2","2","4","1","1","4","4","4","4","2","1","4","",""
"City Service Pacemaker #2","N0674-70","1","1","4","1","1","1","2","2","4","1","2","4","4","4","4","4","1","4","",""
"Clorox","E0540-80","2","2","1","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Coal Tar","N0674-70","1","X","X","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cobalt Chloride","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","",""
"Cobalt Chloride, 2N","N0674-70","1","1","1","1","1","1","1","1","1","4","4","1","1","1","1","1","1","1","",""
"Cobaltous Acetate","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Cobaltous Bromide","N0674-70","1","1","1","1","1","1","1","1","1","4","4","1","1","1","1","1","1","1","",""
"Cobaltous Linoleate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cobaltous Naphthenate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cobaltous Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Coconut Oil","N0674-70","1","1","3","1","1","1","2","3","4","1","3","3","4","4","4","3","1","1","",""
"Cod Liver Oil","N0674-70","1","1","1","1","1","1","1","2","4","1","1","1","4","4","4","2","1","2","",""
"Codeine","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Coffee","N0508-75","1","1","1","1","1","1","1","1","1","4","4","1","1","1","1","1","1","1","",""
"Coke Oven Gas","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","2","",""
"Coliche Liquors","C0873-70","2","2","2","X","X","X","2","1","2","X","X","2","1","1","1","X","X","X","",""
"Convelex 10","Factory","4","4","X","X","X","X","X","4","4","X","2","4","4","4","4","4","X","4","",""
"Coolanol 20 25R 35R 40& 45A (Monsanto)","V1164-75","1","1","3","1","1","1","2","2","4","4","1","4","4","4","4","2","1","4","",""
"Copper Acetate","E0540-80","2","2","1","4","1","1","2","2","4","4","4","1","4","1","1","2","4","4","",""
"Copper Ammonium Acetate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Copper Carbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Copper Chloride","N0674-70","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","",""
"Copper Cyanide","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Copper Gluconate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Copper Naphthenate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Copper Nitrate","V1164-75","2","X","2","1","1","1","2","X","X","X","X","X","X","X","X","X","X","X","",""
"Copper Oxide","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Copper Salts","N0674-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Copper Sulfate","N0674-70","1","1","1","1","1","1","1","1","2","4","1","2","2","2","2","1","1","1","",""
"Copper Sulfate 10%","N0674-70","1","1","1","1","1","1","1","1","2","4","2","2","2","2","2","1","1","1","",""
"Copper Sulfate 50%","N0674-70","1","1","1","1","1","1","1","1","2","4","3","2","2","2","1","1","1","1","",""
"Corn Oil","N0674-70","1","1","3","1","1","1","2","3","4","1","1","3","4","4","4","2","1","1","",""
"Cottonseed Oil","N0674-70","1","1","3","1","1","1","2","3","4","1","1","3","4","4","4","2","2","1","",""
"Creosote, Coal Tar","N0674-70","1","1","4","1","1","1","2","2","4","1","3","4","4","4","4","4","1","4","",""
"Creosote, Wood","N0674-70","1","1","4","1","1","1","2","2","4","1","3","4","4","4","4","4","1","4","",""
"Cresol (Methyl Phenol)","V1164-75","X","X","X","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cresols","V0834-70","4","4","4","2","1","1","2","4","4","4","X","4","4","4","4","4","X","4","",""
"Cresylic Acid","V0834-70","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","X","4","",""
"Crotonaldehyde","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Crotonic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Crude Oil","V1164-75","2","2","4","1","1","1","2","4","4","1","X","4","4","4","4","4","2","4","",""
"Cumaldehyde","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Cumene","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Cumene Hydroperoxide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cupric Sulfate","V1164-75","2","X","2","1","1","1","2","X","X","X","X","X","X","X","X","X","X","X","",""
"Cutting Oil","N0674-70","1","1","4","1","1","1","2","2","4","1","1","4","4","4","4","2","1","4","",""
"Cyanamide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cyanides","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cyanogen Chloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cyanogen Gas","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cyanohydrin","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cyanuric Chloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cyclohexane","N0674-70","1","1","4","1","1","1","2","3","4","2","1","4","4","4","4","4","1","4","",""
"Cyclohexanol","N0674-70","1","1","4","1","1","1","2","2","4","X","X","4","4","4","4","2","1","4","",""
"Cyclohexanone","E0540-80","4","4","2","4","1","1","3","4","4","4","4","2","4","4","4","4","4","4","",""
"Cyclohexene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Cyclohexylamine","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Cyclohexylamine Carbonate","FF500-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Cyclohexylamine Laurate","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Cyclopentadiene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Cyclopentane","N0674-70","1","1","4","1","1","1","2","3","4","2","1","4","4","4","4","4","1","4","",""
"Cyclopolyolefins","V1164-75","1","1","4","1","1","1","2","3","4","2","1","4","4","4","4","4","1","4","",""
"Cymene or p-Cymene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"D-Limonene","—","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"DDT (Dichlorodiphenyltrichloroethane)","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Decalin","V1164-75","4","4","4","1","1","1","2","4","4","X","X","4","4","4","4","4","1","4","",""
"Decane","N0674-70","1","1","4","1","1","1","2","3","4","1","2","4","4","4","4","3","1","2","",""
"Delco Brake Fluid","E0667-70","3","3","1","4","1","1","2","2","1","X","X","2","X","X","X","2","4","3","",""
"Denatured Alcohol","N0674-70","1","1","1","1","1","1","1","1","1","4","4","1","1","1","1","1","1","1","",""
"Detergent, Water Solution","E0540-80","1","1","1","1","1","1","1","2","2","4","4","1","2","2","2","2","1","1","",""
"Developing Fluids (Photo)","N0674-70","1","1","2","1","1","1","1","1","2","X","X","2","2","1","1","1","1","1","",""
"Dexron","N0674-70","1","1","4","1","1","1","2","2","4","1","2","4","4","4","4","4","2","4","",""
"Dextrin","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Dextro Lactic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Dextron","N0674-70","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Dextrose","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"DF200","E0540-80","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"DI Water","E0540-80","2","X","1","2","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Di-ester Lubricant MIL-L-7808","V1164-75","2","2","4","1","1","1","2","4","4","2","4","4","4","4","4","4","2","4","",""
"Di-ester Synthetic Lubricants","V1164-75","2","2","4","1","1","1","2","4","4","2","4","4","4","4","4","4","2","4","",""
"Di-Tert-Butyl Peroxide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Diacetone","E0540-80","4","4","1","4","1","1","2","4","4","4","4","1","4","4","4","4","4","4","",""
"Diacetone Alcohol","E0540-80","4","4","1","4","1","1","2","2","4","4","4","1","4","4","4","2","4","4","",""
"Dialkyl Sulfates","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Diallyl Ether","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Diallyl Phthalate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Diamylamine","N0674-70","1","1","4","1","2","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Diazinon","V1164-75","3","3","4","2","1","1","2","3","4","X","X","4","4","4","4","3","2","4","",""
"Dibenzyl (sym-Diphenylethane)","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dibenzyl Ether","Factory","4","4","2","4","1","1","2","4","4","X","2","2","4","4","4","4","X","X","",""
"Dibenzyl Sebacate","V1164-75","4","4","2","2","1","1","2","4","4","4","2","2","4","4","4","4","3","3","",""
"Diborane","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Dibromoethane","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dibromoethyl Benzene","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Dibutyl Cellosolve Adipate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Dibutyl Ether","Factory","4","4","3","3","1","1","3","4","4","3","2","3","4","4","4","4","3","4","",""
"Dibutyl Methylenedithio Glycolate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dibutyl Phthalate","E0540-80","4","4","2","3","2","1","3","4","4","4","3","3","4","4","4","4","3","2","",""
"Dibutyl Sebacate","E0540-80","4","4","2","2","1","1","2","4","4","4","4","2","4","4","4","4","2","2","",""
"Dibutyl Thioglycolate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dibutyl Thiourea","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dibutylamine","E0540-80","4","4","1","4","1","1","4","3","4","4","4","4","4","4","4","4","4","3","",""
"Dichloroacetic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dichloroaniline","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Dichlorobenzene or o-Dichlorobenzene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Dichlorobenzene or p-Dichlorobenzene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Dichlorobutane","V1164-75","2","2","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Dichlorobutene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dichlorodiphenyl-Dichloroethane (DDD)","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dichloroethane","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dichloroethylene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dichlorohydrin","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Dichloroisopropyl Ether","Factory","4","4","3","3","1","1","3","4","4","3","2","4","4","4","4","4","3","4","",""
"Dichloromethane","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dichlorophenol","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dichlorophenoxyacetic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dichloropropane","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dichloropropene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dichlorosilane","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Dicyclohexylamine","N0674-70","1","1","4","4","1","1","4","4","4","4","4","4","4","4","4","4","4","2","",""
"Dicyclohexylammonium Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Dicyclopentadiene","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Dieldrin","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Diesel Oil","N0674-70","1","1","4","1","1","1","2","3","4","1","3","4","4","4","4","3","1","4","",""
"Diethanolamine (DEA)","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Diethyl Benzene","V1164-75","X","X","X","1","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Diethyl Carbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Diethyl Ether","Factory","4","4","4","4","1","1","4","3","4","3","1","4","4","4","4","4","3","4","",""
"Diethyl Phthalate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Diethyl Sebacate","V1164-75","2","2","2","2","1","1","2","4","4","4","4","2","4","4","4","4","2","2","",""
"Diethyl Sulfate","E0540-80","4","X","1","3","1","1","2","4","X","X","X","X","X","X","X","X","X","2","",""
"Diethylamine","E0540-80","2","X","1","4","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Diethylaniline","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Diethylene Glycol","E0540-80","1","1","1","1","1","1","1","1","1","2","4","1","1","1","1","1","1","2","",""
"Diethylene Glycol B","V3819-75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Diethylenetriamine","FF500-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Difluorodibromomethane","E0540-80","4","4","2","X","1","1","2","4","4","4","4","2","4","4","4","4","X","4","",""
"Difluoroethane","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Difluoromonochloroethane","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Diglycol Chloroformate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Diglycolamine","C0873-70","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Diglycolic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
